,Akuapem Twi
410,Ɛhe ankasa na yɛwɔ?
411,Obuu dua bi wɔ ne turo mu.
412,Kwasi tee sɛ wɔrebɔ ne din.
413,Ná wɔn nyinaa dodow yɛ 30.
414,Mintumi nhu baabi a Kwasi wɔ ne onii ko a ɔka ne ho.
415,"Sɛ ɔda amoa no mu a, ɛkɔ akyiri kodu he?"
416,Yɛwɔ sukuu nhomakorabea kɛse bi.
417,"Sɛ asikre nni tii mu a, yɛsrɛ wo, tɔ wo bo ase."
418,Nntra Boston.
419,Ne ho yɛ fɛ.
420,Ɛsɛ sɛ wokenkan nhoma ahorow a ɛwɔ Engiresi kasa mu.
421,Mefrɛɛ wo nnɔnhwerew abiɛsa a atwam ni.
422,"Ɛrenkyɛ biara, yebetumi ahyɛ asasewosow ho nkɔm."
423,So metumi ne wo akasa kokoam?
424,N'ani gyee asɛm no ho.
425,Selena Gomez fi Mexico ne Italy.
426,Ná Kwasi taa kyerɛw nnwom.
427,Dɛn nti na wunni ha?
428,Kwasi baa abranaa no so.
429,Nsɛe wo sika.
430,"Sɛnea minim no, ɔnwaree."
431,Kwasi traa ɔman no mu nnipa aduonum.
432,"Enti afe 1933 mu no, Franklin Roosevelt bɛyɛɛ Ɔmampanyin."
433,Mintumi nhu ɔkwan a mɛfa so de afiri yi adi dwuma.
434,Yɛda so ara wɔ ɔhaw koro no ara bi.
435,Ɔka kyerɛɛ no sɛ ɔnkɔ polisifo nkyɛn.
436,"Sɛ yɛde no toto wɔn a na wɔatwa ne ho ahyia no ho a, na n'ani gye ankasa."
437,Ɛte sɛ aduru.
438,Nsu Ɛrentumi ntɔ anadwo.
439,YƐN ntade ayɛ Kwasi adaka mu ma.
440,Mepɛ Ɔmampanyin Obama.
441,Mfa me nan nsi fam!
442,Minnim sɛnea ɛyɛ adwuma fa.
443,Yɛhwɛ kwan sɛ awɔw kɛse bɛba afe yi.
444,Me werɛ nhow.
445,Ɔsan de nhoma no kɔɔ nhomakorabea hɔ.
446,"Biribiara sii ntɛmntɛm, na na ɛyɛ nwonwa yiye."
447,Ɔmaa me werɛ fii bɔs no.
448,So na ɛho nhia sɛ meyɛ saa?
449,Ɛsɛ sɛ woyɛ Canada.
450,Nsakrae no maa Kwasi ho dwiriw no.
451,Saa beae yi yɛ fɛ.
452,Menyɛ wo ba.
453,Mmu w'ani ngu so.
454,Kwasi ani agye sukuu afe no awiei koraa.
455,Mfe pii ni.
456,Metua ka pii aka ho.
457,Mihui sɛ adesuafo no siesie wɔn sukuu dan mu bere a wɔawie sukuu no.
458,Meda mo ase sɛ mo ne me kaa eyi kyerɛɛ me.
459,Wubetumi ayɛ nea wopɛ biara.
460,Yɛmaa yɛn aduan pii.
461,Anka mɛkɔ so atra fie dapɛn yi ara.
462,So wotee sɛ Kwasi rehyɛ Kwasi anuonyam?
463,Wɔbara no wɔ ɔman agodibea ahorow.
464,Yɛn nyinaa ani gye Kwasi ho.
465,Kwasi ne eyi nni hwee yɛ.
466,Misusuw sɛ n'ani gyei saa bere no.
467,Wɔn kɔn ware yiye.
468,Kwasi nim sɛ obetumi de ne ho ato Abena so.
469,So wuntumi nka Franse kasa no ɔkwan biara so?
470,Kwasi da so ara yɛ obi a ɔpɛ nnipa te sɛ kan no ara pɛ.
471,"Sɛ Kwasi fi adi anadwo a, ɔdan n'ani kyerɛ baabi foforo."
472,Wuntumi nkɔ hɔ.
473,Wowɔ hokwan sɛ wokɔ.
474,Ná ne maame anoa aduan a onni adagyew.
475,Yɛde anigye gye w'akyɛde no.
476,Metɔɔ maa wo.
477,Kwasi wui wɔ wimhyɛn akwanhyia bi mu.
478,Kwasi rekɔ atrapoe no so.
479,sukyerɛmma tɔɔ owia mu.
480,Kwasi bisae sɛ wɔmma no aduru bi a wɔde siw awo ano.
481,Ɔhene babea no yɛɛ ne ho sɛ oguanhwɛfo kɛkɛ.
482,Kwasi nnye ahɔho nni.
483,Yebetumi de yɛn ho ato no so ma waboa yɛn.
484,Meyɛ abofra dodo.
485,So wutumi di ho dwuma?
486,Ɔsomaa nsa mpempem pii.
487,Ɛyɛ bere a obi adi bɛyɛ mfe anan kosi anan akyi.
488,Me mpaboa sõ sen wo de.
489,"Mitumi huu kwan no, nanso manhu ne fie no."
490,M'ani gyinaa bɔs.
491,So biribi wɔ hɔ ma me?
492,Metan me ho na mepɛ sɛ miwu.
493,Mframa bɔne tɔɔ Kwasi kar no mu.
494,"Bere a edi kan a otuu kar no, mfe bɛn na na wadi?"
495,Mepɛ sɛ wo ne me tena.
496,Dɛn na amma woantumi amma ha Dwoda yi?
497,Yetumi kyerɛw nhoma.
498,Kwasi antumi anhu Abena ɛmfa ho mpo sɛ ɔkae sɛ ɔhwɛ baabiara kɛkɛ no.
499,Minim sɛ woyɛ ɔkyerɛkyerɛfo.
500,"Saa da no, na sotɔɔ ahorow no nni hwee yɛ."
501,Ɛyɛ den ma me sɛ mede m'adwene besi biribi so.
502,Ankyɛ na mihuu sɛnea woguare nsu.
503,Kwasi pɛ sɛ ohu nea ɛsɛ sɛ ɔde nneɛma a wode guu ne dan mu no nyinaa yɛ.
504,Nea mewɔ wɔ me nsam no yɛ ɛpo mu po mu po bi a wɔfrɛ nohell.
505,Misusuw sɛ metow obi tuo kɛkɛ.
506,"Minnim nea Kwasi nim, nanso Kwasi nim nea minim."
507,Owia no nhyerɛn anadwo.
508,Meyɛɛ saa anɔpa mũ no nyinaa.
509,Ɔpɛ sɛ osua nnwom ne asaw ho ade.
510,Saa nhoma yi yɛ wo dea.
511,Ka nea ɛwɔ w'adwenem kyerɛ me.
512,Ɔtraa ase anadwo a etwa to no.
513,Nneɛma abien bi wɔ Kwasi.
514,Mɛma mahu no nnɛ.
515,Ɔyaw me kwa.
516,Saa nhoma yi akenkan yɛ den dodo ma me.
517,Ɛyɛ saa dan yi mu na yɛbɛyɛ yɛn nhyiam no.
518,"Nyɛ mum, minim sɛ wowɔ hɔ."
519,Wɔtoo apon no mu.
520,Bere tenten bɛn na ebegye ansa na ntama no ayɛ ma?
521,Ɛno ne tiaseɛnam.
